cand_id,parents,rank,distance,yield,irrigation,yield_0,irr_0,yield_1,irr_1,yield_2,irr_2,yield_3,irr_3
35_10,"['34_2', '34_55']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_13,"['34_22', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_14,"['34_67', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_50,"['0_0', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_51,"['34_13', '34_55']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_65,"['34_7', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_67,"['34_55', '34_67']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_73,"['34_67', '34_30']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_80,"['34_70', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_63,"['34_35', '34_7']",2,0.2301991960247326,7.077871897200448,-23.275238037109375,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,6.312580490674347,93.1009521484375
35_41,"['34_55', '34_80']",2,0.19400876306892434,5.704548784157963,-18.75,0.6172694407469668,0.0,11.326847942286435,0.0,10.0916999297794,60.0,0.7823778238190492,15.0
35_30,"['34_50', '34_2']",2,0.07161404000130976,9.901285925330887,-107.60503005981445,5.464883779089175,181.8748321533203,11.326847942286435,0.0,11.503231320964982,90.0,11.310180658982958,158.5452880859375
